"lon","lat","year","genus","species","fertilizer_n","planting_date","planting_density","yield","irrigated","sacchariflorus","sinensis","sinensis.Hybrid","giganteus","MAT","MAP","PET","SOLAR"
-0.35,51.8,1998,"Miscanthus","Miscanthus sinensis",60,1997,20000,0.6,1,0,1,0,0,288.314685622871,1.93110128248286e-05,307.410947712418,237.291566913425
-0.35,51.8,1998,"Miscanthus","Miscanthus sinensis",60,1997,20000,3,1,0,1,0,0,288.314685622871,1.93110128248286e-05,307.410947712418,237.291566913425
-0.35,51.8,1998,"Miscanthus","Miscanthus sinensis Hybrid",60,1997,20000,1.4,1,0,1,1,0,288.314685622871,1.93110128248286e-05,307.410947712418,237.291566913425
-0.35,51.8,1998,"Miscanthus","Miscanthus sinensis",60,1997,20000,2,1,0,1,0,0,288.314685622871,1.93110128248286e-05,307.410947712418,237.291566913425
-0.35,51.8,1998,"Miscanthus","Miscanthus sinensis Hybrid",60,1997,20000,6,1,0,1,1,0,288.314685622871,1.93110128248286e-05,307.410947712418,237.291566913425
-0.35,51.8,1998,"Miscanthus","Miscanthus x giganteus",60,1997,20000,5.3,1,0,0,0,1,288.314685622871,1.93110128248286e-05,307.410947712418,237.291566913425
-0.35,51.8,1999,"Miscanthus","Miscanthus x giganteus",60,1997,20000,16.8,1,0,0,0,1,288.730160472495,2.58805102084935e-05,308.96862745098,245.472059441196
-0.35,51.8,1999,"Miscanthus","Miscanthus x giganteus",60,1997,20000,18.7,1,0,0,0,1,288.730160472495,2.58805102084935e-05,308.96862745098,245.472059441196
-0.35,51.8,1999,"Miscanthus","Miscanthus sinensis",60,1997,20000,7,1,0,1,0,0,288.730160472495,2.58805102084935e-05,308.96862745098,245.472059441196
-0.35,51.8,1999,"Miscanthus","Miscanthus sinensis",60,1997,20000,8,1,0,1,0,0,288.730160472495,2.58805102084935e-05,308.96862745098,245.472059441196
-0.35,51.8,1999,"Miscanthus","Miscanthus sinensis Hybrid",60,1997,20000,14,1,0,1,1,0,288.730160472495,2.58805102084935e-05,308.96862745098,245.472059441196
-0.35,51.8,1999,"Miscanthus","Miscanthus sinensis",60,1997,20000,10.9,1,0,1,0,0,288.730160472495,2.58805102084935e-05,308.96862745098,245.472059441196
-0.35,51.8,1999,"Miscanthus","Miscanthus sinensis Hybrid",60,1997,20000,15.8,1,0,1,1,0,288.730160472495,2.58805102084935e-05,308.96862745098,245.472059441196
-0.35,51.8,1999,"Miscanthus","Miscanthus sacchariflorus",60,1997,20000,11.1,1,1,0,0,0,288.730160472495,2.58805102084935e-05,308.96862745098,245.472059441196
-0.35,51.8,1999,"Miscanthus","Miscanthus sinensis Hybrid",60,1997,20000,17.7,1,0,1,1,0,288.730160472495,2.58805102084935e-05,308.96862745098,245.472059441196
-0.35,51.8,1999,"Miscanthus","Miscanthus x giganteus",60,1997,20000,13.8,1,0,0,0,1,288.730160472495,2.58805102084935e-05,308.96862745098,245.472059441196
-0.35,51.8,1999,"Miscanthus","Miscanthus sinensis Hybrid",60,1997,20000,15.7,1,0,1,1,0,288.730160472495,2.58805102084935e-05,308.96862745098,245.472059441196
-0.35,51.8,1999,"Miscanthus","Miscanthus sinensis",60,1997,20000,5.9,1,0,1,0,0,288.730160472495,2.58805102084935e-05,308.96862745098,245.472059441196
-0.35,51.8,1999,"Miscanthus","Miscanthus sinensis",60,1997,20000,4.6,1,0,1,0,0,288.730160472495,2.58805102084935e-05,308.96862745098,245.472059441196
-0.35,51.8,1999,"Miscanthus","Miscanthus x giganteus",60,1997,20000,14.6,1,0,0,0,1,288.730160472495,2.58805102084935e-05,308.96862745098,245.472059441196
-0.35,51.8,1999,"Miscanthus","Miscanthus sinensis Hybrid",60,1997,20000,6.5,1,0,1,1,0,288.730160472495,2.58805102084935e-05,308.96862745098,245.472059441196
-0.352,51.81,1995,"Miscanthus","Miscanthus x giganteus",60,1993,20000,15.56,0,0,0,0,1,288.699200639217,1.30419448485017e-05,343.957516339869,258.333605964743
-0.352,51.81,1996,"Miscanthus","Miscanthus x giganteus",60,1993,20000,23.69,0,0,0,0,1,287.380627484609,1.18602591851392e-05,309.823039215686,254.233532942762
-0.352,51.81,1996,"Miscanthus","Miscanthus x giganteus",60,1993,20000,23.75,0,0,0,0,1,287.380627484609,1.18602591851392e-05,309.823039215686,254.233532942762
-0.352,51.81,1997,"Miscanthus","Miscanthus x giganteus",60,1993,20000,32.61,0,0,0,0,1,288.503998771014,1.49653411101057e-05,306.233660130719,243.067652634985
-0.352,51.81,1997,"Miscanthus","Miscanthus x giganteus",60,1993,20000,29.88,0,0,0,0,1,288.503998771014,1.49653411101057e-05,306.233660130719,243.067652634985
-0.352,51.81,1997,"Miscanthus","Miscanthus x giganteus",60,1993,20000,33.8,0,0,0,0,1,288.503998771014,1.49653411101057e-05,306.233660130719,243.067652634985
-0.36,51.81,1994,"Miscanthus","Miscanthus x giganteus",120,1993,40000,1.9,0,0,0,0,1,287.857743478379,1.51561895222379e-05,325.657026143791,248.593133102806
-0.36,51.81,1995,"Miscanthus","Miscanthus x giganteus",120,1993,40000,8.4,0,0,0,0,1,288.699200639217,1.30419448485017e-05,343.957516339869,258.333605964743
-0.36,51.81,1996,"Miscanthus","Miscanthus x giganteus",120,1993,40000,11,0,0,0,0,1,287.380627484609,1.18602591851392e-05,309.823039215686,254.233532942762
-0.36,51.81,1997,"Miscanthus","Miscanthus x giganteus",120,1993,40000,12.2,0,0,0,0,1,288.503998771014,1.49653411101057e-05,306.233660130719,243.067652634985
-0.65,54.12,1995,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,0.5,0,1,0,0,0,288.578805695989,1.13945657474064e-05,342.557434876437,259.330817352054
-0.65,54.12,1996,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,1.7,0,1,0,0,0,287.20060817908,1.38324189886662e-05,309.571368529036,251.918098350451
-0.65,54.12,1997,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,4.6,0,1,0,0,0,288.30643381731,1.19466926927576e-05,304.906539585085,248.67045384122
-0.65,54.12,1998,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,8.5,0,1,0,0,0,287.94410552191,1.88014508743593e-05,305.849722452989,238.344711473956
-0.65,54.12,1999,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,11.5,0,1,0,0,0,288.425280258741,1.95725747986319e-05,308.401192869651,248.234242016052
-0.65,54.12,2000,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,8.1,0,1,0,0,0,287.917026403726,2.36144230937506e-05,283.429496762566,241.253166908071
-0.65,54.12,2001,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,16,0,1,0,0,0,287.974615547677,1.86700146713102e-05,308.007135565239,243.672266188112
-1.01,53.2,1994,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,0.8,0,1,0,0,0,287.00631154238,9.46908682375316e-06,322.297833678369,246.480331076446
-1.01,53.2,1995,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,2.5,0,1,0,0,0,288.097952519241,1.08271801505118e-05,334.731949175603,255.433464707701
-1.01,53.2,1996,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,4.9,0,1,0,0,0,286.856593665274,1.34610809397874e-05,308.164703694782,247.551462807345
-1.01,53.2,1997,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,13.7,0,1,0,0,0,287.769307733261,1.16953193270448e-05,297.488854882882,247.478778347061
-1.01,53.2,1998,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,12.8,0,1,0,0,0,287.398258321091,1.91885737499704e-05,297.123554538807,232.646389023574
-1.01,53.2,1999,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,12.8,0,1,0,0,0,287.959335850842,1.66766904863134e-05,305.229626558451,245.502204205215
-1.01,53.2,2000,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,10.3,0,1,0,0,0,287.40147817782,2.01989812095364e-05,280.856333232791,240.802352256595
-1.27,51.1,1995,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,0.8,0,1,0,0,0,288.680921895648,1.22196754776883e-05,343.957516339869,259.234935012839
-1.27,51.1,1996,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,7.9,0,1,0,0,0,287.317611196383,1.29446193042941e-05,309.823039215686,253.417476273861
-1.27,51.1,1997,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,15.2,0,1,0,0,0,288.450027445867,1.33835993848722e-05,306.233660130719,246.161273643354
-1.27,51.1,1998,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,19.4,0,1,0,0,0,288.170479220477,1.90051732281789e-05,307.410947712418,238.386716476374
-1.27,51.1,1999,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,18.1,0,1,0,0,0,288.613115124403,2.28212735283995e-05,308.96862745098,247.189817474215
-1.27,51.1,2000,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,23.5,0,1,0,0,0,288.067779587028,2.24373478951792e-05,283.889869281046,239.371642738928
-1.27,51.1,2001,"Miscanthus","Miscanthus sacchariflorus",60,1994,25000,16.7,0,1,0,0,0,288.144777690447,1.76096408831817e-05,309.821895424836,245.283551652929
-2.64,52.13,1993,"Miscanthus","Miscanthus x giganteus",60,1993,40000,15.8,0,0,0,0,1,287.614997686548,1.88333547657652e-05,305.842461501322,241.273633476735
-2.64,52.13,1993,"Miscanthus","Miscanthus x giganteus",60,1993,10000,6.2,0,0,0,0,1,287.614997686548,1.88333547657652e-05,305.842461501322,241.273633476735
-2.64,52.13,1994,"Miscanthus","Miscanthus sacchariflorus",60,1992,25000,13.6,0,1,0,0,0,287.730344699685,1.46313347255551e-05,328.921098788652,245.408770967997
-2.64,52.13,1995,"Miscanthus","Miscanthus sacchariflorus",60,1992,25000,17,0,1,0,0,0,288.651493973525,1.23694185269257e-05,349.0099419187,259.657854283676
-2.64,52.13,1996,"Miscanthus","Miscanthus sacchariflorus",60,1992,25000,17.7,0,1,0,0,0,287.384819437491,1.1447157571827e-05,314.70689625354,254.589998207118
-2.64,52.13,1997,"Miscanthus","Miscanthus sacchariflorus",60,1992,25000,17.3,0,1,0,0,0,288.406312880501,1.40365383559966e-05,309.760307809268,241.966943551606
-2.64,52.13,1998,"Miscanthus","Miscanthus sacchariflorus",60,1992,25000,24.6,0,1,0,0,0,288.244966826498,1.75913214619769e-05,310.096124730671,236.23436953398
-2.64,52.13,1999,"Miscanthus","Miscanthus sacchariflorus",60,1992,25000,17.7,0,1,0,0,0,288.625764830836,2.61158055746518e-05,312.798689928011,246.317386426559
-2.64,52.13,2000,"Miscanthus","Miscanthus sacchariflorus",60,1992,25000,20.8,0,1,0,0,0,288.108658432237,1.79066441144043e-05,288.954428879233,238.107871118605
-3.45,50.63,1993,"Miscanthus","Miscanthus x giganteus",60,1993,40000,12.2,0,0,0,0,1,287.228770153295,1.79938892512536e-05,323.144347342024,242.541625393119
-3.45,50.63,1993,"Miscanthus","Miscanthus x giganteus",60,1993,10000,2.5,0,0,0,0,1,287.228770153295,1.79938892512536e-05,323.144347342024,242.541625393119
-3.78,50.49,1995,"Miscanthus","Miscanthus sacchariflorus",60,1992,25000,14.9,0,1,0,0,0,287.955171424831,8.09873352110415e-06,382.466339869281,253.248476370492
-3.78,50.49,1996,"Miscanthus","Miscanthus sacchariflorus",60,1992,25000,19,0,1,0,0,0,286.70416001411,1.44052871612053e-05,347.047058823529,248.234038979463
-3.78,50.49,1997,"Miscanthus","Miscanthus sacchariflorus",60,1992,25000,20.2,0,1,0,0,0,287.510476919927,1.42788928277522e-05,333.113235294118,236.670166995506
-3.78,50.49,1998,"Miscanthus","Miscanthus sacchariflorus",60,1992,25000,16.5,0,1,0,0,0,287.262899471044,1.65742118611992e-05,327.876960784314,228.129271683771
-3.78,50.49,1999,"Miscanthus","Miscanthus sacchariflorus",60,1992,25000,19.5,0,1,0,0,0,287.651071163482,1.46952900549758e-05,338.160784313725,240.317657997228
-3.78,50.49,2000,"Miscanthus","Miscanthus sacchariflorus",60,1992,25000,22.2,0,1,0,0,0,287.488596406728,2.10878278519836e-05,322.491176470588,240.027962188957
-3.78,50.49,2001,"Miscanthus","Miscanthus sacchariflorus",60,1992,25000,17.6,0,1,0,0,0,287.218005659972,1.06502888948597e-05,336.761111111111,240.275086001226
-6.23,53.33,1994,"Miscanthus","Miscanthus x giganteus",120,1993,40000,1,0,0,0,0,1,286.284607984082,1.6070878909241e-05,298.868997176232,230.742749414983
-6.23,53.33,1995,"Miscanthus","Miscanthus x giganteus",120,1993,40000,5,0,0,0,0,1,288.04300051683,1.41358743672601e-05,340.374351089204,246.484684837267
-6.25,53.34,1995,"Miscanthus","Miscanthus x giganteus",120,1993,40000,5.3,0,0,0,0,1,288.038507481436,1.40407513812009e-05,340.423712987584,246.55493391648
-6.25,53.34,1996,"Miscanthus","Miscanthus x giganteus",120,1993,40000,7.7,0,0,0,0,1,286.609232166549,1.93724505474532e-05,312.86675696617,245.262064903547
-6.25,53.34,1997,"Miscanthus","Miscanthus x giganteus",120,1993,40000,8.4,0,0,0,0,1,287.42646879071,2.13228318911378e-05,303.663817308131,234.29331152282
-6.25,53.34,1998,"Miscanthus","Miscanthus x giganteus",120,1993,40000,13.6,0,0,0,0,1,287.043589907971,2.93922054354021e-05,277.869476717552,225.933470452577
-6.25,53.34,1999,"Miscanthus","Miscanthus x giganteus",120,1993,40000,14,0,0,0,0,1,287.481009007017,2.10951702119044e-05,303.57240786551,233.834319321669
-8.15,52.47,1994,"Miscanthus","Miscanthus x giganteus",120,1990,20000,19,0,0,0,0,1,285.892811765838,2.02355959370314e-05,284.941622323199,216.289708858365
-8.15,52.47,1994,"Miscanthus","Miscanthus x giganteus",120,1990,20000,13.5,0,0,0,0,1,285.892811765838,2.02355959370314e-05,284.941622323199,216.289708858365
-8.15,52.47,1994,"Miscanthus","Miscanthus x giganteus",120,1990,20000,15.2,0,0,0,0,1,285.892811765838,2.02355959370314e-05,284.941622323199,216.289708858365
-8.54,42.88,1994,"Miscanthus","Miscanthus x giganteus",120,1993,40000,5,1,0,0,0,1,288.978242230854,2.36171681436804e-05,464.070098039216,258.774900292694
-8.54,42.88,1995,"Miscanthus","Miscanthus x giganteus",60,1993,40000,13.6,1,0,0,0,1,289.689412692035,2.23416121520289e-05,522.643954248366,265.046283335283
-8.54,42.88,1996,"Miscanthus","Miscanthus x giganteus",120,1993,40000,22.5,1,0,0,0,1,289.386762172971,1.94714189010261e-05,472.445261437908,265.904653522756
-9.16,38.73,1995,"Miscanthus","Miscanthus x giganteus",120,1993,40000,2.7,1,0,0,0,1,295.132426198216,5.59367249096195e-06,562.316746873396,317.27732776149
-9.16,38.73,1996,"Miscanthus","Miscanthus x giganteus",120,1993,40000,3.1,1,0,0,0,1,294.488860118581,1.97350339784185e-05,518.837100973667,310.912583887695
-9.16,38.73,1997,"Miscanthus","Miscanthus x giganteus",120,1993,40000,24.3,1,0,0,0,1,294.046118753901,1.56106009658434e-05,467.74242889652,303.908010627114
-9.16,38.73,1998,"Miscanthus","Miscanthus x giganteus",120,1993,40000,25.1,1,0,0,0,1,294.639414630783,1.63672375709479e-05,502.151528371393,310.550992507908
-9.16,38.73,1999,"Miscanthus","Miscanthus x giganteus",120,1993,40000,24,1,0,0,0,1,294.74669716098,7.3593380268996e-06,561.165078230298,317.893942442164
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,17777,7,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,17777,6.8,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,17777,6.9,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,17777,13,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,17777,7.2,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,17777,8,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,17777,11,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,17777,27,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,40000,6.9,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,40000,6.9,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,40000,7.6,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,40000,8.8,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,40000,11,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,40000,15,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,40000,27,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,40000,41,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,40000,52,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,40000,47,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,40000,45,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,17777,18,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,17777,26,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus sinensis",60,1993,17777,27,1,0,1,0,0,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus x giganteus",60,1993,40000,24.4,0,0,0,0,1,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1993,"Miscanthus","Miscanthus x giganteus",60,1993,10000,16.5,0,0,0,0,1,286.307510911769,1.26118713273541e-05,304.371405228758,226.277802733589
0.11,52.42,1994,"Miscanthus","Miscanthus x giganteus",120,1993,40000,4.1,0,0,0,0,1,286.862507858966,1.0103900805518e-05,324.50114379085,237.600313375822
0.11,52.42,1994,"Miscanthus","Miscanthus x giganteus",120,1993,40000,4.9,0,0,0,0,1,286.862507858966,1.0103900805518e-05,324.50114379085,237.600313375822
